date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2/13/20 18:03,Huskerfan5904,DrKarlynB,0,0,0,Great article. And definitely a terrible byproduct of #metoo in the loss of innocent until proven guilty.,,,#metoo #metoo,1.23E+18,https://twitter.com/Huskerfan5904/status/1228016800396238850
2/13/20 18:03,racerm,TheRoot,0,0,1,"@TheRoot is trash and so are Gayle King, Oprah, the Ambassador Rice army, and the rest of the #metoo industrial complex. Snoop backed down because they were gonna hurt him in the pocket. However black men and women are united in exposing their agenda.",,@TheRoot,#metoo #metoo,1.23E+18,https://twitter.com/racerm/status/1228016770595745792
2/13/20 18:02,cc02aa2aecb8441,Moralens_Vogter,0,0,2,#metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/cc02aa2aecb8441/status/1228016724320059393
2/13/20 18:02,myguykb,atensnut,0,0,0,Michelle left out the part about being a sexual predator. #MeToo ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/myguykb/status/1228016685891891207
2/13/20 18:02,CultureReframed,,1,0,0,The #MeToo Movement is Undermined by porn #CultureReframed http://ow.ly/qrO430qbtqm,,,#MeToo #MeToo #CultureReframed,1.23E+18,https://twitter.com/CultureReframed/status/1228016629352747011
2/13/20 18:01,michelle_ottawa,LaurenAratani,0,1,1,".@OttawaMarch Let's organize. Let's sing. Let's drum. Let's yell. Let's March. Saturday, March 7th. #IDW202 #endVAW #endVAWG #Patriarchy #EnoughIsEnough #TimesUp #MeToo @ORCCsupports @OCTEVAW @CAWI_IVTF @PPOttawa",,@OttawaMarch @ORCCsupports @OCTEVAW @CAWI_IVTF @PPOttawa,#IDW202 #endVAW #endVAWG #Patriarchy #EnoughIsEnough #TimesUp #MeToo #MeToo,1.23E+18,https://twitter.com/michelle_ottawa/status/1228016464977895425
2/13/20 18:01,ledbyherorg,,0,0,0,HarcÕŒlement sexuel : Qu_Ñéest-ce qui a VRAIMENT changÕ© dans les mÕ©dias depuis la ë‰ Ligue du Lol ë_ et #MeToo ? ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/ledbyherorg/status/1228016284522119168
2/13/20 18:00,budish_ezra,RIBernhard,0,0,0,"Is the student a woman? If so, you should stop bullying, threatening, and aggressing her. #BelieveAllWomen #MeToo",,,#BelieveAllWomen #MeToo #MeToo,1.23E+18,https://twitter.com/budish_ezra/status/1228016212103188480
2/13/20 18:00,bluntnessmedia,,0,0,0,.@aubrybracco takes on #sexist #cannabis advertising and the #metoo movement: ,,@aubrybracco,#sexist #cannabis #metoo #metoo,1.23E+18,https://twitter.com/bluntnessmedia/status/1228016162786742272
2/13/20 18:00,SupportTaekook,ThatBrianFella,0,0,1,"The #MeToo and #TimesUp movements are ""actively engaging in the suppression of truth"" ",,,#MeToo #MeToo #TimesUp,1.23E+18,https://twitter.com/SupportTaekook/status/1228016133170700289
2/13/20 18:00,teamcoworker,,0,1,1,"""In a recently filed lawsuit, a former employee alleges Disney World wrongfully terminated her after she filed a sexual harassment claim against her supervisor."" #MeToo #TimesUp",,,#MeToo #MeToo #TimesUp,1.23E+18,https://twitter.com/teamcoworker/status/1228016131283279872
2/13/20 18:00,womapodolchuk,,0,0,0,"I_Ñém working with a bully, I_Ñém working with someone I can_Ñét stand, what do I do? #Bullying #Keeptheconversationgoing #Educate #Speakup #Mentalhealth #MEtoo",,,#Bullying #Keeptheconversationgoing #Educate #Speakup #Mentalhealth #MEtoo #MEtoo,1.23E+18,https://twitter.com/womapodolchuk/status/1228016130876375040
2/13/20 18:00,OdaStOda,SuzanneVenker,0,0,0,Why some women don't experience #metoo : _ÑÒI have always made choices from college-age on where I never drank too much. I never went home with someone I didn_Ñét know. I just never put myself in any vulnerable circumstance. Ever._Ñù ,,,#metoo #metoo,1.23E+18,https://twitter.com/OdaStOda/status/1228016086920171522
2/13/20 18:00,acaguy,,0,1,1,Add to that the anemic response to #metoo and the moral panic around cancel culture and it is clear people in power need not be accountable for their actions. The same can't be said for those at the margins of our society. Accountability remains asymmetrical and linked to power.,,,#metoo #metoo,1.23E+18,https://twitter.com/acaguy/status/1228016086827835393
