date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-13 18:03:08,babecicada,SimplySara__,1,0,0,"Sensitive? Lmao honey, you came to me don’t forget. You should delete because you look stupid.",,,,1228016770436386816,https://twitter.com/babecicada/status/1228016770436386816
2020-02-13 18:02:07,OreoBuffy5,ddale8,2,0,26,"Does he know that one of that ""group"" is the person he gave the Medal of Freedom to, Rush Limbaugh?",,,,1228016515372417024,https://twitter.com/OreoBuffy5/status/1228016515372417024
2020-02-13 18:02:01,babecicada,SimplySara__,0,0,0,"Then why are you here ",,,,1228016491892658176,https://twitter.com/babecicada/status/1228016491892658176
2020-02-13 18:01:58,cork13,APredatoryWasp,0,0,0,"5 shows to get to know me 1. Bojack Horseman 2. Arrested Development (s1-3) 3. Ally Mcbeal 4. Steins; Gate 5. Idk, Buffy? Futurama? Dark Shadows? ",,,,1228016476197617664,https://twitter.com/cork13/status/1228016476197617664
2020-02-13 18:01:50,DrPsyBuffy,,0,0,3,"Just in the last week, one of my student's brothers committed suicide and another one's father attempted suicide.",,,,1228016442882301952,https://twitter.com/DrPsyBuffy/status/1228016442882301952
2020-02-13 18:01:36,BuffyCook,adamlambert,0,1,3,"Cant wait to see you perform at the @glaad awards.... now the questions are what are singing, what are you wearing , what colour are going for green or purple or maybe neither omg so many things to think about #lambertoverload ... ",,@glaad,#lambertoverload,1228016385273540608,https://twitter.com/BuffyCook/status/1228016385273540608
2020-02-13 18:01:14,babecicada,SimplySara__,2,0,0,"Protect who??? You’re way outta pocket right now. Don’t try to police me. It’s twitter. Just unfollow me.",,,,1228016293355253760,https://twitter.com/babecicada/status/1228016293355253760
2020-02-13 17:59:48,fluffymamita,,0,0,0,"This store reserved the UNC to chigago drop for me today and I’m just wondering why they didn’t keep that same energy when Melody dropped her shit.",,,,1228015933102460928,https://twitter.com/fluffymamita/status/1228015933102460928
2020-02-13 17:59:36,shutupjayla,grandhighbeech,0,0,0,"i refuse to be oppressed on my own twitter",,,,1228015882137325568,https://twitter.com/shutupjayla/status/1228015882137325568
2020-02-13 17:59:10,BuffyCook,,0,0,0,"From @jihohato Twitter ..... I think the rain has done something to Adam his dance moves are ... #adamlambert #qal #therhapsodytour https://www.instagram.com/p/B8hCuXBhPvM/?igshid=af7g75fn193c",,@jihohato,#adamlambert #qal #therhapsodytour,1228015771781079040,https://twitter.com/BuffyCook/status/1228015771781079040
2020-02-13 17:58:50,smartgirl172,JosephBrassey,1,0,3,"Why does this remind me of that episode from Buffy with the Gentlemen??? ",,,,1228015688272556036,https://twitter.com/smartgirl172/status/1228015688272556036
2020-02-13 17:58:38,HerbatkaLipton,AroVoi492,1,0,1,"I certainly am",,,,1228015639559843840,https://twitter.com/HerbatkaLipton/status/1228015639559843840
2020-02-13 17:58:25,DirteeSprite,NolesBurner,1,0,23,"He’ll be looking out",,,,1228015586451640320,https://twitter.com/DirteeSprite/status/1228015586451640320
2020-02-13 17:57:46,kstewed_,katya_zamo,1,0,1,"10 movies to know me: 1. Buffy The Vampire Slayer 2. Mamma Mia 1 &amp; 2 3. Almost Famous 4. The Heathers 5. Clueless 6. The Runaways 7. Wonder Woman 8. Literally any Star Wars movie 9. Drop Dead Gorgeous 10. Scream ",,,,1228015422726819841,https://twitter.com/kstewed_/status/1228015422726819841
2020-02-13 17:56:49,babecicada,SimplySara__,1,0,0,"Sheesh it was a general statement. I’ve been in several groups that shut down out of nowhere. I’m not even IN “nectarine queens”. Don’t take everything to heart. Sorry to hear about your group tho?",,,,1228015181218770945,https://twitter.com/babecicada/status/1228015181218770945
2020-02-13 17:56:40,VampirexBuffy,VampirexBuffy,0,0,0,"You could of, but this body....{she lets her run down her sides}....is for your eyes only...",,,,1228015143130411009,https://twitter.com/VampirexBuffy/status/1228015143130411009
2020-02-13 17:56:38,ScottCarelli,nickmjimenez,0,0,5,"Doctor Who Buffy the Vampire Slayer The Good Place Spaced Gilmore Girls ",,,,1228015136025169925,https://twitter.com/ScottCarelli/status/1228015136025169925
2020-02-13 17:56:35,hollydaudy,El_fez_,0,0,2,"I never watched twilight cause they can’t match my Buffy/Angel vibes ",,,,1228015124503498752,https://twitter.com/hollydaudy/status/1228015124503498752
2020-02-13 17:55:46,VampirexBuffy,CowboyWithAnAxe,1,0,0,"{She watched as the buttons of his shirt flew onto the floor and rolled in every direction. She stood quietly for a minute, just admiring the view....licking her lips, a smirk appearing on her face} what can I say, I have no patience {she winks as she walks closer to him} oh ++",,,,1228014918080901120,https://twitter.com/VampirexBuffy/status/1228014918080901120
2020-02-13 17:54:41,BrndnStrssng,,0,0,1,"The Buffy reboot comic is only 12 issues in and Kendra &amp; Anya are already here, Willow is openly gay from the jump and Cordy is still the best character but for much different reasons. In other words, I love it. ",,,,1228014643639209984,https://twitter.com/BrndnStrssng/status/1228014643639209984
2020-02-13 17:53:12,KyleSharp19,,0,0,0,"Grateful that Buffy hasn’t been rebooted yet if only to avoid the inevitable “She Better Slay” and “Slay All Day” taglines.",,,,1228014270270640129,https://twitter.com/KyleSharp19/status/1228014270270640129
2020-02-13 17:51:58,BuffyCook,,0,1,0,"From @awaywithpixie .... #adamlambert #qal #therhapsodytour #gorgeous #wow Our king of queen looking https://www.instagram.com/p/B8hB85fhgT1/?igshid=mi20iv0cx61j",,,#adamlambert #qal #therhapsodytour #gorgeous #wow,1228013962895265798,https://twitter.com/BuffyCook/status/1228013962895265798
2020-02-13 17:50:35,selenaperrry,,0,0,0,"check on your air sign friends. We not okay ",,,,1228013614705127425,https://twitter.com/selenaperrry/status/1228013614705127425
2020-02-13 17:50:14,BuffyBlogs,ocregister,2,0,1,"Please don't. We have enough traffic on Fridays.",,,,1228013524900646912,https://twitter.com/BuffyBlogs/status/1228013524900646912
2020-02-13 17:49:40,BuffyBlogs,Quiara,1,0,1,"Oh I am totally sucky. It's a wonder petard follows me at all.",,,,1228013384827723776,https://twitter.com/BuffyBlogs/status/1228013384827723776
2020-02-13 17:49:38,DarenGarshelis,ACLU_CAP,0,0,0,"Buffy Wicks sided with capitalist real estate speculators against @moms4housing. That’s not what a champion looks like.",,@moms4housing,,1228013375478611968,https://twitter.com/DarenGarshelis/status/1228013375478611968
